SITE	Age (Ma)	Genus	d18O 5pt
806	0.745	CIB	4.21
607	0.7478	CIB	4.29
849	0.748	CIB	4.31
607	0.7513	CIB	4.36
849	0.752	CIB	4.36
607	0.7548	CIB	4.46
806	0.755	CIB	4.41
659	0.755	CIB	4.43
849	0.756	CIB	4.47
806	0.757	CIB	4.49
659	0.758	CIB	4.42
607	0.7583	CIB	4.46
849	0.76	CIB	4.38
659	0.76	CIB	4.31
806	0.761	CIB	4.21
607	0.7618	CIB	4.19
806	0.763	CIB	4.16
849	0.764	CIB	4.19
607	0.7653	CIB	4.16
806	0.766	CIB	4.17
607	0.7671	CIB	4.16
849	0.768	CIB	4.12
806	0.768	CIB	4.08
659	0.769	CIB	4.03
849	0.772	CIB	4.02
607	0.7741	CIB	3.94
659	0.775	CIB	3.83
849	0.776	CIB	3.77
607	0.7778	CIB	3.72
849	0.78	CIB	3.57
659	0.78	CIB	3.55
659	0.784	CIB	3.58
849	0.784	CIB	3.63
607	0.7848	CIB	3.72
849	0.788	CIB	3.92
659	0.788	CIB	3.98
607	0.788	CIB	4.18
659	0.79	CIB	4.25
607	0.791	CIB	4.35
849	0.792	CIB	4.38
659	0.793	CIB	4.48
849	0.796	CIB	4.43
659	0.796	CIB	4.46
607	0.7966	CIB	4.43
607	0.7977	CIB	4.41
607	0.7994	CIB	4.4
659	0.8	CIB	4.34
849	0.8	CIB	4.33
607	0.8035	CIB	4.27
849	0.804	CIB	4.3
607	0.805	CIB	4.32
659	0.806	CIB	4.32
659	0.807	CIB	4.21
849	0.808	CIB	4.1
607	0.8082	CIB	3.98
607	0.811	CIB	3.9
659	0.812	CIB	3.86
849	0.812	CIB	3.93
659	0.816	CIB	3.94
849	0.816	CIB	3.99
607	0.8182	CIB	3.89
849	0.82	CIB	3.87
659	0.822	CIB	3.84
849	0.824	CIB	3.85
659	0.824	CIB	3.81
607	0.8253	CIB	3.85
849	0.828	CIB	3.9
849	0.832	CIB	3.88
659	0.832	CIB	3.87
607	0.8347	CIB	3.86
849	0.836	CIB	3.84
659	0.836	CIB	3.76
659	0.84	CIB	3.65
849	0.84	CIB	3.6
659	0.843	CIB	3.57
607	0.843	CIB	3.54
849	0.844	CIB	3.51
607	0.8478	CIB	3.64
849	0.848	CIB	3.65
659	0.851	CIB	3.59
849	0.852	CIB	3.63
607	0.8527	CIB	3.64
849	0.856	CIB	3.44
607	0.8598	CIB	3.46
659	0.86	CIB	3.63
849	0.86	CIB	3.63
607	0.8623	CIB	3.76
849	0.864	CIB	3.96
659	0.865	CIB	4.06
607	0.8678	CIB	4.13
849	0.868	CIB	4.32
849	0.872	CIB	4.37
607	0.872	CIB	4.52
659	0.873	CIB	4.56
849	0.876	CIB	4.55
607	0.8781	CIB	4.39
849	0.88	CIB	4.35
607	0.8812	CIB	4.38
849	0.884	CIB	4.37
659	0.884	CIB	4.32
607	0.8843	CIB	4.43
659	0.887	CIB	4.41
849	0.888	CIB	4.37
659	0.89	CIB	4.28
659	0.89	CIB	4.31
607	0.8904	CIB	4.29
849	0.892	CIB	4.25
659	0.893	CIB	4.21
659	0.896	CIB	4.24
849	0.896	CIB	4.13
607	0.8966	CIB	4.11
659	0.897	CIB	4.12
849	0.9	CIB	4.07
659	0.902	CIB	4.03
607	0.9031	CIB	4.1
659	0.904	CIB	4.08
849	0.904	CIB	4.03
607	0.9058	CIB	4.05
659	0.908	CIB	4.05
849	0.908	CIB	3.98
607	0.9089	CIB	3.91
659	0.909	CIB	3.96
659	0.911	CIB	3.95
659	0.911	CIB	4.01
607	0.9119	CIB	4.07
849	0.912	CIB	4.21
607	0.9134	CIB	4.23
607	0.915	CIB	4.32
849	0.916	CIB	4.15
659	0.916	CIB	4.19
607	0.9186	CIB	4.15
849	0.92	CIB	4.08
607	0.9237	CIB	3.98
659	0.924	CIB	4.1
849	0.924	CIB	4.04
607	0.9276	CIB	4
849	0.928	CIB	3.98
659	0.929	CIB	3.93
607	0.9312	CIB	3.89
849	0.932	CIB	3.82
607	0.9336	CIB	3.76
659	0.936	CIB	3.75
849	0.936	CIB	3.74
659	0.936	CIB	3.7
659	0.939	CIB	3.67
849	0.94	CIB	3.62
607	0.9404	CIB	3.55
607	0.944	CIB	3.5
659	0.944	CIB	3.49
849	0.944	CIB	3.49
659	0.944	CIB	3.48
607	0.9464	CIB	3.43
849	0.948	CIB	3.38
659	0.95	CIB	3.35
607	0.9517	CIB	3.26
849	0.952	CIB	3.23
659	0.953	CIB	3.23
607	0.9549	CIB	3.33
659	0.956	CIB	3.34
849	0.956	CIB	3.56
607	0.958	CIB	3.8
849	0.96	CIB	4.01
607	0.96	CIB	4.09
659	0.962	CIB	4.28
849	0.964	CIB	4.24
607	0.9641	CIB	4.16
607	0.9661	CIB	4.14
659	0.967	CIB	4.12
849	0.968	CIB	4.01
607	0.9705	CIB	4.02
659	0.971	CIB	3.97
849	0.972	CIB	3.83
607	0.9738	CIB	3.78
659	0.976	CIB	3.77
849	0.976	CIB	3.79
607	0.9776	CIB	3.82
659	0.98	CIB	3.89
849	0.98	CIB	3.91
607	0.9809	CIB	3.95
659	0.984	CIB	3.95
849	0.984	CIB	3.87
607	0.9852	CIB	3.9
659	0.988	CIB	3.92
849	0.988	CIB	3.97
607	0.989	CIB	3.91
659	0.989	CIB	3.96
659	0.992	CIB	3.95
849	0.992	CIB	3.83
607	0.9926	CIB	3.77
659	0.996	CIB	3.76
849	0.996	CIB	3.78
607	0.9973	CIB	3.76
849	1	CIB	3.78
607	1.0014	CIB	3.82
607	1.0033	CIB	3.98
849	1.004	CIB	4
659	1.005	CIB	4.08
607	1.0073	CIB	4.21
849	1.008	CIB	4.17
607	1.0097	CIB	4.1
659	1.01	CIB	4.07
849	1.012	CIB	4.01
659	1.013	CIB	3.95
607	1.014	CIB	3.91
849	1.016	CIB	3.82
607	1.0165	CIB	3.78
659	1.018	CIB	3.75
607	1.0191	CIB	3.69
849	1.02	CIB	3.72
607	1.0216	CIB	3.74
659	1.022	CIB	3.67
849	1.024	CIB	3.65
607	1.0241	CIB	3.59
607	1.0249	CIB	3.52
659	1.026	CIB	3.55
607	1.0276	CIB	3.62
849	1.028	CIB	3.64
607	1.0299	CIB	3.69
659	1.031	CIB	3.78
659	1.032	CIB	3.87
849	1.032	CIB	3.97
607	1.0336	CIB	4.04
607	1.0343	CIB	4.23
659	1.035	CIB	4.27
607	1.0356	CIB	4.3
849	1.036	CIB	4.26
607	1.0373	CIB	4.31
659	1.038	CIB	4.32
849	1.04	CIB	4.35
607	1.0409	CIB	4.31
849	1.044	CIB	4.36
849	1.048	CIB	4.26
659	1.048	CIB	4.14
